No.,Formula,Name,A,B,C,Tmin,Tmax
1.0,Ac,Actinium,8.854,20735.0,273.15,1599.85,3198.0
2.0,Ag,Silver,8.992,15884.0,387.39,960.85,6136.85
3.0,Al,Aluminum,8.241,14525.0,192.25,1209.0,2517.66
4.0,Am,Americium,9.188,13701.0,245.54,726.85,1126.85
5.0,Ar,Argon,6.841,340.27,271.8,-189.37,-122.29
6.0,As,Arsenic,9.901,5883.7,223.24,146.85,614.85
7.0,At,Astatine,9.515,3802.5,239.36,5.85,333.85
8.0,Au,Gold,8.167,16053.0,180.98,952.85,2856.0
9.0,B,Boron,9.375,25377.0,113.69,1547.85,3859.85
10.0,Ba,Barium,6.477,7779.9,266.45,638.0,1897.0
11.0,Be,Beryllium,8.084,13697.0,148.52,823.85,2483.85
12.0,Bi,Bismuth,7.906,9022.1,231.44,668.0,1564.0
13.0,Br,Bromine,7.279,1321.9,241.8,-7.3,311.0
14.0,aC,Carbon (amphorous),9.412,27489.0,281.97,2985.95,4125.95
14.1,C,Graphite,13.639,42471.0,310.67,2566.0,3635.0
15.0,Ca,Calcium,7.118,7084.4,188.26,351.85,1483.85
16.0,Cd,Cadmium,7.66,4757.6,228.44,119.85,767.0
17.0,Ce,Cerium,8.545,20813.0,231.68,1719.0,3443.0
18.0,Cl,Chlorine,7.063,906.7,250.83,-101.03,144.0
19.0,Co,Cobalt,8.775,14056.0,129.65,821.85,2254.85
20.0,Cr,Chromium,8.487,15308.0,59.51,1383.0,2671.0
21.0,Cs,Cesium,6.675,3515.8,255.57,21.85,671.0
22.0,Cu,Copper,8.31,15007.0,202.14,1216.0,2562.0
23.0,D,Deuterium,6.315,92.213,276.35,-254.42,-234.8
24.0,Dy,Dysprosium,6.677,9758.6,3.7,1105.0,2567.0
25.0,Er,Erbium,7.075,12618.0,140.57,1231.0,2868.0
26.0,Eu,Europium,7.354,7409.5,187.91,366.85,1468.85
27.0,F,Fluorine,6.895,320.1,267.95,-219.67,-128.84
28.0,Fe,Iron,8.379,16214.0,88.52,1435.0,2860.2
29.0,Fr,Francium,6.285,3099.4,237.55,121.06,673.0
30.0,Ga,Gallium,8.285,13240.0,246.06,680.85,2204.0
31.0,Gd,Gadolinium,8.017,17796.0,191.64,1543.0,3600.0
32.0,Ge,Germanium,8.722,18108.0,273.09,956.85,2826.85
33.0,H,Hydrogen,6.149,80.948,277.53,-259.2,-239.97
34.0,He,Helium-4,5.271,13.517,274.58,-271.39,-267.95
35.0,Hf,Hafnium,9.065,30233.0,285.82,1340.0,4603.0
36.0,Hg,Mercury,7.895,3147.6,271.1,-38.84,1461.85
37.0,Ho,Holmium,6.662,10226.0,4.88,1159.0,2700.0
38.0,I,Iodine,7.107,1557.0,183.97,-31.15,546.0
39.0,In,Indium,7.988,11857.0,249.38,900.0,2072.0
40.0,Ir,Iridium,9.227,28611.0,80.35,2200.0,4428.0
41.0,K,Potassium,6.974,4143.9,254.47,63.2,1949.85
42.0,Kr,Krypton,7.014,511.62,277.13,-157.37,-63.8
43.0,La,Lanthanum,8.578,21097.0,239.17,1650.0,3464.0
44.0,Li,Lithium,8.269,8884.6,307.17,180.54,3811.85
45.0,Lu,Lutetium,7.832,17422.0,116.75,1600.0,3402.0
46.0,Mg,Magnesium,7.706,6303.0,216.22,243.85,1090.0
47.0,Mn,Manganese,7.706,10766.0,129.43,650.85,2061.0
48.0,Mo,Molybdenum,8.649,26943.0,31.68,2400.0,4950.0
49.0,N,Nitrogen,6.725,285.57,270.09,-210.0,-147.05
50.0,Na,Sodium,7.488,5300.1,267.61,97.82,2299.85
51.0,Nb,Niobium,9.943,35065.0,221.05,1976.85,4744.0
52.0,Nd,Neodymium,7.369,14888.0,243.34,870.85,3074.0
53.0,Ne,Neon,6.744,115.33,275.91,-248.59,-228.75
54.0,Ni,Nickel,8.764,17954.0,138.85,1480.0,3200.0
55.0,Np,Neptunium,7.032,19215.0,158.97,1344.84,1800.84
56.0,O,Oxygen,6.837,339.21,268.7,-218.8,-118.57
57.0,Os,Osmium,9.765,34751.0,35.61,2600.0,5400.0
58.0,P,Phosphorus (white),7.063,2016.6,201.67,131.0,317.0
58.1,P,Phosphorus (red),8.183,2718.7,81.75,182.0,720.85
59.0,Pb,Lead,7.463,9131.8,243.7,434.85,1749.0
60.0,Pd,Palladium,8.568,18403.0,273.14,1300.0,3400.0
61.0,Po,Polonium,7.184,5265.0,261.55,500.0,1050.0
62.0,Pr,Praseodymium,6.781,14031.0,77.8,1497.7,3520.0
63.0,Pt,Platinum,8.586,22056.0,41.02,1470.85,3825.0
64.0,Pu,Plutonium,8.087,18532.0,331.78,1483.0,3228.0
65.0,Ra,Radium,6.716,6622.5,200.78,319.85,1526.0
66.0,Rb,Rubidium,7.0,3926.2,265.16,36.85,688.0
67.0,Re,Rhenium,8.976,34838.0,119.34,2206.85,5596.0
68.0,Rh,Rhodium,9.685,26834.0,248.59,1461.85,3695.0
69.0,Rn,Radon,6.58,651.67,237.86,-160.0,103.85
70.0,Ru,Ruthenium,9.286,26794.0,33.09,2200.0,4500.0
71.0,S,Sulfur,7.866,3465.0,250.34,115.21,1039.85
72.0,Sb,Antimony,5.881,4984.7,74.32,343.85,1587.0
73.0,Sc,Scandium,7.726,13961.0,45.18,1300.0,3200.0
74.0,Se,Selenium (gray),7.054,3442.0,139.77,123.85,685.0
75.0,Si,Silicon,9.326,23320.0,401.58,1500.0,3400.0
76.0,Sm,Samarium,6.724,7242.8,90.48,700.0,2000.0
77.0,Sn,Tin (white),8.549,16656.0,336.4,1150.0,2800.0
78.0,Sr,Strontium,6.832,6128.7,168.97,308.85,1382.0
79.0,Ta,Tantalum,8.733,31264.0,-115.81,2237.85,5458.0
80.0,Tb,Terbium,7.418,14825.0,37.37,1516.1,3230.0
81.0,Tc,Technetium,26.085,236890.0,5941.04,2400.0,4400.0
82.0,Te,Tellurium,6.639,4084.4,98.94,223.85,988.0
